forzahoraizon;https://www.microsoft.com/pt-br/p/forza-horizon-4/9pnqkhfld2wq#activetab=pivot:overviewtab;https://www.techtudo.com.br/noticias/2021/06/forza-horizon-5-e-anunciado-na-e3-e-graficos-impressionam-veja-imagens-e32021.ghtml
formula1;https://www.microsoft.com/pt-br/p/f1-2020/9p5frhdpntc6?activetab=pivot:overviewtab;https://www.techtudo.com.br/noticias/2020/07/f1-2020-veja-os-requisitos-minimos-para-download-do-jogo-no-pc-e-preco.ghtml
needpayback;https://www.origin.com/bra/pt-br/store/need-for-speed/need-for-speed-payback;https://www.ea.com/pt-br/games/need-for-speed/need-for-speed-payback/news/nfs-payback-pc-requirements
dirt5;https://www.microsoft.com/pt-br/p/dirt-5/9pjgm0t0827v#activetab=pivot:overviewtab;https://wuukia.nuuvem.com/dirt-5/dicas/requisitos-de-sistema/
thecrew;https://store.ubi.com/ofertas/game?lang=pt_BR&pid=598c6a3e0c8ee469268b4568&dwvar_598c6a3e0c8ee469268b4568_Platform=pcdl&edition=Standard%20Edition&source=detail;https://www.ubisoft.com/pt-br/help/the-crew/article/system-requirements-for-the-crew/000080036
granturismo;https://www.gran-turismo.com/br/products/gt6/;https://www.gran-turismo.com/br/products/gt6/
projectcars;https://store.playstation.com/pt-br/product/UP9000-CUSA03220_00-GTSPORTS00000000;https://www.tudocelular.com/jogos/noticias/n161124/project-cars-3-para-pc-tem-requisitos-minimos-e-recomendados-revelados.html
eurotruck2;https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/;https://www.techtudo.com.br/dicas-e-tutoriais/noticia/2013/09/euro-truck-simulator-2-aprenda-jogar-o-simulador-de-caminhoes.html
pes21;https://www.konami.com/wepes/2021/us/pt-br/ps4/page/order;https://www.konami.com/wepes/2021/us/pt-br/ps4/page/requirements_pc
fifa21;https://www.ea.com/pt-br/games/fifa/fifa-21;https://globoesporte.globo.com/esports/fifa/noticia/fifa-21-requisitos-minimos-e-recomendados-do-jogo-no-pc.ghtml
freefire;https://play.google.com/store/apps/details?id=com.dts.freefireth&hl=pt_BR&gl=US;https://play.google.com/store/apps/details?id=com.dts.freefireth&hl=pt_BR&gl=US
golfcelular;https://play.google.com/store/apps/details?id=games.onebutton.golfbattle&hl=pt_BR&gl=US;https://play.google.com/store/apps/details?id=games.onebutton.golfbattle&hl=pt_BR&gl=US
pingpong;https://play.google.com/store/apps/details?id=uk.co.yakuto.TableTennisTouch&hl=pt_BR&gl=US;https://play.google.com/store/apps/details?id=uk.co.yakuto.TableTennisTouch&hl=pt_BR&gl=US
motogp;https://www.microsoft.com/pt-br/p/motogp-20/9pjgnfwr6mhl?activetab=pivot:overviewtab;https://store.steampowered.com/app/1161490/MotoGP20/?l=brazilian
csgo;https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?l=portuguese;https://www.techtudo.com.br/dicas-e-tutoriais/2020/12/como-baixar-o-csgo-veja-requisitos-minimos-para-rodar-no-pc-steam-esports.ghtml
microsoftflightsimulator;https://www.microsoft.com/pt-br/p/microsoft-flight-simulator-standard/9nxn8gf8n9ht?activetab=pivot:overviewtab;https://www.microsoft.com/pt-br/p/microsoft-flight-simulator-standard/9nxn8gf8n9ht?activetab=pivot:overviewtab#activetab=pivot:regionofsystemrequirementstab